Granule UR,Producer Granule ID,Start Time,End Time,Online Access URLs,Browse URLs,Cloud Cover,Day/Night,Size
S6A_P4_2__LR_RED__NR_025_056_20210715T190748_20210715T204627_F02,,2021-07-15T19:07:48.534Z,2021-07-15T20:46:27.469Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_056_20210715T190748_20210715T204627_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_056_20210715T190748_20210715T204627_F02.bufr.bin",,,UNSPECIFIED,2.3541383743286133
S6A_P4_2__LR_RED__NR_025_057_20210715T204627_20210715T223758_F02,,2021-07-15T20:46:27.519Z,2021-07-15T22:37:58.457Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_057_20210715T204627_20210715T223758_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_057_20210715T204627_20210715T223758_F02.bufr.bin",,,UNSPECIFIED,0.3118429183959961
S6A_P4_2__LR_RED__NR_025_059_20210715T223758_20210716T003159_F02,,2021-07-15T22:37:58.507Z,2021-07-16T00:31:59.498Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_059_20210715T223758_20210716T003159_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_059_20210715T223758_20210716T003159_F02.bufr.bin",,,UNSPECIFIED,5.301955223083496
S6A_P4_2__LR_RED__NR_025_061_20210716T003159_20210716T022732_F02,,2021-07-16T00:31:59.549Z,2021-07-16T02:27:32.490Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_061_20210716T003159_20210716T022732_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_061_20210716T003159_20210716T022732_F02.bufr.bin",,,UNSPECIFIED,0.31142425537109375
S6A_P4_2__LR_RED__NR_025_063_20210716T022732_20210716T042333_F02,,2021-07-16T02:27:32.541Z,2021-07-16T04:23:33.480Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_063_20210716T022732_20210716T042333_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_063_20210716T022732_20210716T042333_F02.bufr.bin",,,UNSPECIFIED,0.3142890930175781
S6A_P4_2__LR_RED__NR_025_065_20210716T042333_20210716T061901_F02,,2021-07-16T04:23:33.530Z,2021-07-16T06:19:01.475Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_065_20210716T042333_20210716T061901_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_065_20210716T042333_20210716T061901_F02.bufr.bin",,,UNSPECIFIED,0.3129854202270508
S6A_P4_2__LR_RED__NR_025_067_20210716T061901_20210716T081446_F02,,2021-07-16T06:19:01.525Z,2021-07-16T08:14:46.465Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_067_20210716T061901_20210716T081446_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_067_20210716T061901_20210716T081446_F02.bufr.bin",,,UNSPECIFIED,5.501830101013184
S6A_P4_2__LR_RED__NR_025_070_20210716T081446_20210716T095203_F02,,2021-07-16T08:14:46.516Z,2021-07-16T09:52:03.478Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_070_20210716T081446_20210716T095203_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_070_20210716T081446_20210716T095203_F02.bufr.bin",,,UNSPECIFIED,2.305607795715332
S6A_P4_2__LR_RED__NR_025_071_20210716T095203_20210716T114624_F02,,2021-07-16T09:52:03.528Z,2021-07-16T11:46:24.467Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_071_20210716T095203_20210716T114624_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_071_20210716T095203_20210716T114624_F02.bufr.bin",,,UNSPECIFIED,0.3123807907104492
S6A_P4_2__LR_RED__NR_025_073_20210716T114624_20210716T134228_F02,,2021-07-16T11:46:24.517Z,2021-07-16T13:42:28.458Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_073_20210716T114624_20210716T134228_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_073_20210716T114624_20210716T134228_F02.bufr.bin",,,UNSPECIFIED,2.6644678115844727
